CustomerID,Gender,Tenure,MonthlyCharges,ContractType,PaymentMethod,Churn
CUST-00151,Male,3,80.95,Month-to-month,Mailed check,Yes
CUST-00152,Female,19,43.22,Two year,Bank transfer,No
CUST-00153,Male,60,110.12,Two year,Bank transfer,Yes
CUST-00154,Female,39,83.89,Two year,Mailed check,No
CUST-00155,Female,13,105.33,Month-to-month,Electronic check,Yes
CUST-00156,Female,38,22.19,One year,Credit card,No
CUST-00157,Male,7,111.06,One year,Bank transfer,No
CUST-00158,Female,30,80.71,One year,Mailed check,No
CUST-00159,Female,18,82.82,One year,Credit card,No
CUST-00160,Female,5,77.96,One year,Bank transfer,Yes
CUST-00161,Female,14,37.56,Month-to-month,Electronic check,Yes
CUST-00162,Female,9,103.05,Month-to-month,Electronic check,Yes
CUST-00163,Female,38,94.66,Two year,Electronic check,Yes
CUST-00164,Male,8,106.01,Month-to-month,Bank transfer,No
CUST-00165,Female,13,21.39,Month-to-month,Mailed check,No
CUST-00166,Female,48,30.83,One year,Electronic check,Yes
CUST-00167,Female,29,84.77,Two year,Bank transfer,No
CUST-00168,Female,15,33.98,One year,Credit card,No
CUST-00169,Female,8,108.73,Month-to-month,Electronic check,Yes
CUST-00170,Female,20,108.54,One year,Bank transfer,No
CUST-00171,Female,36,23.27,Two year,Mailed check,No
CUST-00172,Male,13,118.09,Two year,Mailed check,No
CUST-00173,Female,9,38.98,Month-to-month,Electronic check,No
CUST-00174,Female,7,84.17,Month-to-month,Bank transfer,Yes
CUST-00175,Female,5,98.7,Month-to-month,Electronic check,Yes
CUST-00176,Male,30,52.86,One year,Electronic check,No
CUST-00177,Male,5,118.75,Month-to-month,Mailed check,Yes
CUST-00178,Male,4,33.18,One year,Mailed check,No
CUST-00179,Female,9,25.24,Month-to-month,Bank transfer,Yes
CUST-00180,Male,12,71.32,Month-to-month,Electronic check,Yes
CUST-00181,Male,67,50.16,One year,Bank transfer,Yes
CUST-00182,Female,55,88.61,Two year,Mailed check,No
CUST-00183,Male,42,80.83,Two year,Electronic check,Yes
CUST-00184,Female,20,73.06,Month-to-month,Mailed check,No
CUST-00185,Male,15,105.28,One year,Bank transfer,No
CUST-00186,Male,8,61.38,Month-to-month,Credit card,Yes
CUST-00187,Male,11,86.51,Month-to-month,Mailed check,Yes
CUST-00188,Female,3,29.32,Month-to-month,Electronic check,Yes
CUST-00189,Male,72,76.17,One year,Bank transfer,No
CUST-00190,Female,7,116.84,Two year,Bank transfer,Yes
CUST-00191,Male,16,42.42,Month-to-month,Electronic check,No
CUST-00192,Female,9,77.41,Month-to-month,Credit card,No
CUST-00193,Male,35,22.9,One year,Electronic check,No
CUST-00194,Female,6,106.99,Month-to-month,Bank transfer,Yes
CUST-00195,Male,4,29.18,One year,Mailed check,No
CUST-00196,Female,12,51.16,Month-to-month,Electronic check,No
CUST-00197,Male,20,35.74,Two year,Bank transfer,No
CUST-00198,Female,14,68.57,Month-to-month,Mailed check,Yes
CUST-00199,Male,4,48.32,Month-to-month,Bank transfer,Yes
CUST-00200,Female,13,118.44,Month-to-month,Electronic check,Yes
