ticket_id,customer_id,issue_type,priority,resolution_time_hours,satisfaction_score
1116,CUST_0564,Cancellation,Low,10,4
1117,CUST_4192,Service,High,56,3
1118,CUST_1758,Cancellation,Medium,30,4
1119,CUST_1679,Billing,Low,5,1
1120,CUST_3243,Billing,High,33,4
1121,CUST_4637,Cancellation,Medium,65,1
1122,CUST_1060,Billing,High,18,4
1123,CUST_1723,Cancellation,Low,49,1
1124,CUST_3315,Service,Low,11,2
1125,CUST_3158,Cancellation,Low,26,5
1126,CUST_2626,Service,High,63,3
1127,CUST_2730,Cancellation,High,59,4
1128,CUST_1598,Billing,Low,27,5
1129,CUST_3061,Cancellation,High,49,3
1130,CUST_2694,Billing,Low,33,3
1131,CUST_4892,Cancellation,Low,1,1
1132,CUST_3628,Cancellation,Medium,21,2
1133,CUST_1364,Technical,High,55,2
1134,CUST_1982,Billing,Low,6,5
1135,CUST_1664,Technical,Low,69,2
1136,CUST_1530,Billing,High,5,4
1137,CUST_2039,Technical,Medium,3,2
1138,CUST_3303,Service,Medium,53,5
1139,CUST_2238,Cancellation,Low,23,2
1140,CUST_1307,Billing,High,53,4
1141,CUST_4030,Billing,Medium,37,1
1142,CUST_2676,Cancellation,High,17,5
1143,CUST_1283,Billing,High,1,1
1144,CUST_0710,Billing,Low,51,1
1145,CUST_4745,Technical,Medium,45,1
1146,CUST_4414,Billing,Low,4,3
1147,CUST_3749,Service,Medium,62,3
1148,CUST_4780,Service,Medium,65,1
1149,CUST_0664,Cancellation,Medium,32,5
1150,CUST_1999,Billing,Medium,34,4
1151,CUST_3446,Cancellation,Medium,39,4
1152,CUST_3744,Service,High,26,2
1153,CUST_1496,Billing,Low,34,5
1154,CUST_3305,Billing,High,54,3
1155,CUST_3764,Cancellation,Medium,3,1
1156,CUST_1854,Service,Low,50,2
1157,CUST_4660,Billing,Medium,12,4
1158,CUST_1292,Cancellation,Low,65,3
1159,CUST_3582,Service,High,54,3
1160,CUST_3458,Cancellation,Low,5,1
1161,CUST_1637,Technical,Low,57,4
1162,CUST_3697,Billing,Low,17,5
1163,CUST_3000,Technical,Low,47,3
1164,CUST_3153,Service,Low,23,1
1165,CUST_0699,Technical,Medium,14,5
1166,CUST_2161,Technical,Low,66,4
1167,CUST_4098,Service,Low,51,3
1168,CUST_4738,Cancellation,High,38,5
1169,CUST_0855,Technical,Low,64,5
1170,CUST_3475,Cancellation,High,38,5
1171,CUST_1708,Technical,Medium,50,3
1172,CUST_2778,Cancellation,Low,30,3
1173,CUST_1734,Service,High,51,2
1174,CUST_4932,Technical,High,63,4
1175,CUST_3511,Service,Medium,52,1
1176,CUST_0203,Technical,Low,38,5
1177,CUST_3256,Service,Low,30,2
1178,CUST_4219,Service,High,51,1
1179,CUST_4497,Technical,Low,5,2
1180,CUST_0767,Technical,High,29,3
1181,CUST_4390,Technical,Low,4,5
1182,CUST_2328,Billing,High,10,1
1183,CUST_2932,Cancellation,Low,56,1
1184,CUST_0198,Billing,Medium,17,1
1185,CUST_1931,Billing,Low,17,1
1186,CUST_3583,Service,Low,69,1
1187,CUST_0609,Technical,Medium,34,2
1188,CUST_3273,Cancellation,Low,6,5
1189,CUST_1148,Service,Medium,53,3
1190,CUST_4283,Billing,Low,66,3
1191,CUST_3398,Technical,High,43,3
1192,CUST_2512,Service,High,23,3
1193,CUST_1795,Technical,Low,55,2
1194,CUST_0660,Service,Low,16,4
1195,CUST_2812,Technical,Low,8,5
1196,CUST_1370,Billing,High,4,1
1197,CUST_1987,Cancellation,Low,4,4
1198,CUST_0147,Billing,High,56,3
1199,CUST_3220,Cancellation,Medium,25,4
1200,CUST_2912,Technical,High,67,5
